n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
0,1,chi2,NaiveBayes,0.8269419862340216,0.8697381182256638,0.8269419862340216,0.8217850173244653
0,1,chi2,KNN,0.5,0.25,0.5,0.3333333333333333
0,1,chi2,RandomForest,0.8269419862340216,0.8697381182256638,0.8269419862340216,0.8217850173244653
0,1,chi2,LogisticRegression,0.8269419862340216,0.8697381182256638,0.8269419862340216,0.8217850173244653
0,1,chi2,DecisionTree,0.8269419862340216,0.8697381182256638,0.8269419862340216,0.8217850173244653
0,1,chi2,SimpleLogistic,0.8269419862340216,0.8697381182256638,0.8269419862340216,0.8217850173244653
0,1,chi2,JRIP,0.4995083579154376,0.249877029021151,0.4995083579154376,0.33311475409836067
1,1,chi2,NaiveBayes,0.8225172074729596,0.869859383352511,0.8161434782229889,0.814414698128234
1,1,chi2,KNN,0.5176991150442478,0.2588495575221239,0.5,0.34110787172011664
1,1,chi2,RandomForest,0.8225172074729596,0.869859383352511,0.8161434782229889,0.814414698128234
1,1,chi2,LogisticRegression,0.8225172074729596,0.869859383352511,0.8161434782229889,0.814414698128234
1,1,chi2,DecisionTree,0.8225172074729596,0.869859383352511,0.8161434782229889,0.814414698128234
1,1,chi2,SimpleLogistic,0.8225172074729596,0.869859383352511,0.8161434782229889,0.814414698128234
1,1,chi2,JRIP,0.5172074729596854,0.2587309394982784,0.49952516619183285,0.3408943616331821
2,1,chi2,NaiveBayes,0.8033431661750245,0.8552244446243961,0.8054049245383729,0.796613016766927
2,1,chi2,KNN,0.4945919370698132,0.2472959685349066,0.5,0.330921052631579
2,1,chi2,RandomForest,0.8033431661750245,0.8552244446243961,0.8054049245383729,0.796613016766927
2,1,chi2,LogisticRegression,0.8033431661750245,0.8552244446243961,0.8054049245383729,0.796613016766927
2,1,chi2,DecisionTree,0.8033431661750245,0.8552244446243961,0.8054049245383729,0.796613016766927
2,1,chi2,SimpleLogistic,0.8033431661750245,0.8552244446243961,0.8054049245383729,0.796613016766927
2,1,chi2,JRIP,0.4941002949852507,0.24717166748647318,0.4995029821073559,0.33070088845014806
3,1,chi2,NaiveBayes,0.8033431661750245,0.8528504529065166,0.8108449673060832,0.7986044895158488
3,1,chi2,KNN,0.47984267453294,0.23992133726647,0.5,0.32425249169435216
3,1,chi2,RandomForest,0.8033431661750245,0.8528504529065166,0.8108449673060832,0.7986044895158488
3,1,chi2,LogisticRegression,0.8033431661750245,0.8528504529065166,0.8108449673060832,0.7986044895158488
3,1,chi2,DecisionTree,0.8033431661750245,0.8528504529065166,0.8108449673060832,0.7986044895158488
3,1,chi2,SimpleLogistic,0.8033431661750245,0.8528504529065166,0.8108449673060832,0.7986044895158488
3,1,chi2,JRIP,0.47935103244837757,0.2397934087555337,0.4994877049180328,0.3240279162512463
4,1,chi2,NaiveBayes,0.8205506391347099,0.8673199199644286,0.8194972603415218,0.814305906388326
4,1,chi2,KNN,0.5029498525073747,0.25147492625368734,0.5,0.3346418056918548
4,1,chi2,RandomForest,0.8205506391347099,0.8673199199644286,0.8194972603415218,0.814305906388326
4,1,chi2,LogisticRegression,0.8205506391347099,0.8673199199644286,0.8194972603415218,0.814305906388326
4,1,chi2,DecisionTree,0.8205506391347099,0.8673199199644286,0.8194972603415218,0.814305906388326
4,1,chi2,SimpleLogistic,0.8205506391347099,0.8673199199644286,0.8194972603415218,0.814305906388326
4,1,chi2,JRIP,0.5024582104228122,0.2513526807673389,0.4995112414467253,0.33442408376963345
5,1,chi2,NaiveBayes,0.8190757128810227,0.8671001397763578,0.8131678281068525,0.810856677903057
5,1,chi2,KNN,0.5162241887905604,0.2581120943952802,0.5,0.3404669260700389
5,1,chi2,RandomForest,0.8190757128810227,0.8671001397763578,0.8131678281068525,0.810856677903057
5,1,chi2,LogisticRegression,0.8190757128810227,0.8671001397763578,0.8131678281068525,0.810856677903057
5,1,chi2,DecisionTree,0.8190757128810227,0.8671001397763578,0.8131678281068525,0.810856677903057
5,1,chi2,SimpleLogistic,0.8190757128810227,0.8671001397763578,0.8131678281068525,0.810856677903057
5,1,chi2,JRIP,0.515732546705998,0.25799311362518446,0.49952380952380954,0.3402530003243594
6,1,chi2,NaiveBayes,0.8146509341199607,0.8591236616981034,0.8205153644303299,0.8105010311240055
6,1,chi2,KNN,0.4832841691248771,0.24164208456243855,0.5,0.3258203513423931
6,1,chi2,RandomForest,0.8146509341199607,0.8591236616981034,0.8205153644303299,0.8105010311240055
6,1,chi2,LogisticRegression,0.8146509341199607,0.8591236616981034,0.8205153644303299,0.8105010311240055
6,1,chi2,DecisionTree,0.8146509341199607,0.8591236616981034,0.8205153644303299,0.8105010311240055
6,1,chi2,SimpleLogistic,0.8146509341199607,0.8591236616981034,0.8205153644303299,0.8105010311240055
6,1,chi2,JRIP,0.48279252704031467,0.24151500245941956,0.49949135300101727,0.3255968169761273
7,1,chi2,NaiveBayes,0.8225172074729596,0.8701438848920864,0.8203980099502488,0.8159221104601708
7,1,chi2,KNN,0.5058997050147492,0.2529498525073746,0.5,0.33594515181194906
7,1,chi2,RandomForest,0.8225172074729596,0.8701438848920864,0.8203980099502488,0.8159221104601708
7,1,chi2,LogisticRegression,0.8225172074729596,0.8701438848920864,0.8203980099502488,0.8159221104601708
7,1,chi2,DecisionTree,0.8225172074729596,0.8701438848920864,0.8203980099502488,0.8159221104601708
7,1,chi2,SimpleLogistic,0.8225172074729596,0.8701438848920864,0.8203980099502488,0.8159221104601708
7,1,chi2,JRIP,0.5063913470993117,0.7530742744712248,0.5004975124378109,0.3370489018858761
8,1,chi2,NaiveBayes,0.8092428711897739,0.8556777061044682,0.8150783972125435,0.8046463548303734
8,1,chi2,KNN,0.4837758112094395,0.24188790560471976,0.5,0.3260437375745527
8,1,chi2,RandomForest,0.8092428711897739,0.8556777061044682,0.8150783972125435,0.8046463548303734
8,1,chi2,LogisticRegression,0.8092428711897739,0.8556777061044682,0.8150783972125435,0.8046463548303734
8,1,chi2,DecisionTree,0.8092428711897739,0.8556777061044682,0.8150783972125435,0.8046463548303734
8,1,chi2,SimpleLogistic,0.8092428711897739,0.8556777061044682,0.8150783972125435,0.8046463548303734
8,1,chi2,JRIP,0.4832841691248771,0.24176094441711757,0.4994918699186992,0.32582035134239307
9,1,chi2,NaiveBayes,0.8141592920353983,0.8656036864878145,0.8082147367809807,0.8052089403252041
9,1,chi2,KNN,0.515732546705998,0.257866273352999,0.5,0.34025300032435934
9,1,chi2,RandomForest,0.8141592920353983,0.8656036864878145,0.8082147367809807,0.8052089403252041
9,1,chi2,LogisticRegression,0.8141592920353983,0.8656036864878145,0.8082147367809807,0.8052089403252041
9,1,chi2,DecisionTree,0.8141592920353983,0.8656036864878145,0.8082147367809807,0.8052089403252041
9,1,chi2,SimpleLogistic,0.8141592920353983,0.8656036864878145,0.8082147367809807,0.8052089403252041
9,1,chi2,JRIP,0.5152409046214356,0.25774717166748645,0.49952335557673977,0.34003893575600264
0,1,f_classif,NaiveBayes,0.8333333333333334,0.8538702035587891,0.8333333333333333,0.8308796062721555
0,1,f_classif,KNN,0.5,0.25,0.5,0.3333333333333333
0,1,f_classif,RandomForest,0.8333333333333334,0.8538702035587891,0.8333333333333333,0.8308796062721555
0,1,f_classif,LogisticRegression,0.8333333333333334,0.8538702035587891,0.8333333333333333,0.8308796062721555
0,1,f_classif,DecisionTree,0.8333333333333334,0.8538702035587891,0.8333333333333333,0.8308796062721555
0,1,f_classif,SimpleLogistic,0.8333333333333334,0.8538702035587891,0.8333333333333333,0.8308796062721555
0,1,f_classif,JRIP,0.4995083579154376,0.249877029021151,0.4995083579154376,0.33311475409836067
1,1,f_classif,NaiveBayes,0.828416912487709,0.8497944564288331,0.832784442876186,0.8268904509623416
1,1,f_classif,KNN,0.5176991150442478,0.2588495575221239,0.5,0.34110787172011664
1,1,f_classif,RandomForest,0.828416912487709,0.8497944564288331,0.832784442876186,0.8268904509623416
1,1,f_classif,LogisticRegression,0.828416912487709,0.8497944564288331,0.832784442876186,0.8268904509623416
1,1,f_classif,DecisionTree,0.828416912487709,0.8497944564288331,0.832784442876186,0.8268904509623416
1,1,f_classif,SimpleLogistic,0.828416912487709,0.8497944564288331,0.832784442876186,0.8268904509623416
1,1,f_classif,JRIP,0.5172074729596854,0.2587309394982784,0.49952516619183285,0.3408943616331821
2,1,f_classif,NaiveBayes,0.8338249754178958,0.8551371560770058,0.8324972344918814,0.8308890885172477
2,1,f_classif,KNN,0.4945919370698132,0.2472959685349066,0.5,0.330921052631579
2,1,f_classif,RandomForest,0.8338249754178958,0.8551371560770058,0.8324972344918814,0.8308890885172477
2,1,f_classif,LogisticRegression,0.8338249754178958,0.8551371560770058,0.8324972344918814,0.8308890885172477
2,1,f_classif,DecisionTree,0.8338249754178958,0.8551371560770058,0.8324972344918814,0.8308890885172477
2,1,f_classif,SimpleLogistic,0.8338249754178958,0.8551371560770058,0.8324972344918814,0.8308890885172477
2,1,f_classif,JRIP,0.4941002949852507,0.24717166748647318,0.4995029821073559,0.33070088845014806
3,1,f_classif,NaiveBayes,0.8210422812192724,0.8469463404657821,0.8154304440794571,0.8155817086196178
3,1,f_classif,KNN,0.47984267453294,0.23992133726647,0.5,0.32425249169435216
3,1,f_classif,RandomForest,0.8210422812192724,0.8469463404657821,0.8154304440794571,0.8155817086196178
3,1,f_classif,LogisticRegression,0.8210422812192724,0.8469463404657821,0.8154304440794571,0.8155817086196178
3,1,f_classif,DecisionTree,0.8210422812192724,0.8469463404657821,0.8154304440794571,0.8155817086196178
3,1,f_classif,SimpleLogistic,0.8210422812192724,0.8469463404657821,0.8154304440794571,0.8155817086196178
3,1,f_classif,JRIP,0.47935103244837757,0.2397934087555337,0.4994877049180328,0.3240279162512463
4,1,f_classif,NaiveBayes,0.8343166175024582,0.8583065896890845,0.83507952116165,0.8317129236926631
4,1,f_classif,KNN,0.5029498525073747,0.25147492625368734,0.5,0.3346418056918548
4,1,f_classif,RandomForest,0.8343166175024582,0.8583065896890845,0.83507952116165,0.8317129236926631
4,1,f_classif,LogisticRegression,0.8343166175024582,0.8583065896890845,0.83507952116165,0.8317129236926631
4,1,f_classif,DecisionTree,0.8343166175024582,0.8583065896890845,0.83507952116165,0.8317129236926631
4,1,f_classif,SimpleLogistic,0.8343166175024582,0.8583065896890845,0.83507952116165,0.8317129236926631
4,1,f_classif,JRIP,0.5024582104228122,0.2513526807673389,0.4995112414467253,0.33442408376963345
5,1,f_classif,NaiveBayes,0.8352999016715831,0.8544061515863036,0.8390708478513357,0.8339852767582068
5,1,f_classif,KNN,0.5162241887905604,0.2581120943952802,0.5,0.3404669260700389
5,1,f_classif,RandomForest,0.8352999016715831,0.8544061515863036,0.8390708478513357,0.8339852767582068
5,1,f_classif,LogisticRegression,0.8352999016715831,0.8544061515863036,0.8390708478513357,0.8339852767582068
5,1,f_classif,DecisionTree,0.8352999016715831,0.8544061515863036,0.8390708478513357,0.8339852767582068
5,1,f_classif,SimpleLogistic,0.8352999016715831,0.8544061515863036,0.8390708478513357,0.8339852767582068
5,1,f_classif,JRIP,0.515732546705998,0.25799311362518446,0.49952380952380954,0.3402530003243594
6,1,f_classif,NaiveBayes,0.8387413962635202,0.8603980554892396,0.8346118069987116,0.8349569996427768
6,1,f_classif,KNN,0.4832841691248771,0.24164208456243855,0.5,0.3258203513423931
6,1,f_classif,RandomForest,0.8387413962635202,0.8603980554892396,0.8346118069987116,0.8349569996427768
6,1,f_classif,LogisticRegression,0.8387413962635202,0.8603980554892396,0.8346118069987116,0.8349569996427768
6,1,f_classif,DecisionTree,0.8387413962635202,0.8603980554892396,0.8346118069987116,0.8349569996427768
6,1,f_classif,SimpleLogistic,0.8387413962635202,0.8603980554892396,0.8346118069987116,0.8349569996427768
6,1,f_classif,JRIP,0.48279252704031467,0.24151500245941956,0.49949135300101727,0.3255968169761273
7,1,f_classif,NaiveBayes,0.8225172074729596,0.8472666611405836,0.8240880147368116,0.8197726890606765
7,1,f_classif,KNN,0.5058997050147492,0.2529498525073746,0.5,0.33594515181194906
7,1,f_classif,RandomForest,0.8225172074729596,0.8472666611405836,0.8240880147368116,0.8197726890606765
7,1,f_classif,LogisticRegression,0.8225172074729596,0.8472666611405836,0.8240880147368116,0.8197726890606765
7,1,f_classif,DecisionTree,0.8225172074729596,0.8472666611405836,0.8240880147368116,0.8197726890606765
7,1,f_classif,SimpleLogistic,0.8225172074729596,0.8472666611405836,0.8240880147368116,0.8197726890606765
7,1,f_classif,JRIP,0.5054080629301868,0.2528283325135268,0.49951409135082603,0.33572828216851736
8,1,f_classif,NaiveBayes,0.8490658800393314,0.8679665241247179,0.8453774680603949,0.8459998022090925
8,1,f_classif,KNN,0.4837758112094395,0.24188790560471976,0.5,0.3260437375745527
8,1,f_classif,RandomForest,0.8490658800393314,0.8679665241247179,0.8453774680603949,0.8459998022090925
8,1,f_classif,LogisticRegression,0.8490658800393314,0.8679665241247179,0.8453774680603949,0.8459998022090925
8,1,f_classif,DecisionTree,0.8490658800393314,0.8679665241247179,0.8453774680603949,0.8459998022090925
8,1,f_classif,SimpleLogistic,0.8490658800393314,0.8679665241247179,0.8453774680603949,0.8459998022090925
8,1,f_classif,JRIP,0.4832841691248771,0.24176094441711757,0.4994918699186992,0.32582035134239307
9,1,f_classif,NaiveBayes,0.8328416912487709,0.8531012532931306,0.8366091951241936,0.8313702617082039
9,1,f_classif,KNN,0.515732546705998,0.257866273352999,0.5,0.34025300032435934
9,1,f_classif,RandomForest,0.8328416912487709,0.8531012532931306,0.8366091951241936,0.8313702617082039
9,1,f_classif,LogisticRegression,0.8328416912487709,0.8531012532931306,0.8366091951241936,0.8313702617082039
9,1,f_classif,DecisionTree,0.8328416912487709,0.8531012532931306,0.8366091951241936,0.8313702617082039
9,1,f_classif,SimpleLogistic,0.8328416912487709,0.8531012532931306,0.8366091951241936,0.8313702617082039
9,1,f_classif,JRIP,0.5152409046214356,0.25774717166748645,0.49952335557673977,0.34003893575600264
0,11,chi2,NaiveBayes,0.8652900688298918,0.8796816352371908,0.8652900688298919,0.8640013353011455
0,11,chi2,KNN,0.7713864306784661,0.842340716167431,0.7713864306784661,0.7588933582170023
0,11,chi2,RandomForest,0.9124877089478859,0.912717553131285,0.912487708947886,0.9124755232583438
0,11,chi2,LogisticRegression,0.8933136676499508,0.8942288310359263,0.8933136676499508,0.8932517162443724
0,11,chi2,DecisionTree,0.9124877089478859,0.912717553131285,0.912487708947886,0.9124755232583438
0,11,chi2,SimpleLogistic,0.8938053097345132,0.9032945097445129,0.8938053097345133,0.893176944286402
0,11,chi2,JRIP,0.5181907571288102,0.7102061337355454,0.5181907571288102,0.3755990843172412
1,11,chi2,NaiveBayes,0.8618485742379548,0.8782664703717336,0.8581728046559851,0.8593141826704741
1,11,chi2,KNN,0.7900688298918387,0.8557432432432432,0.7823649337410805,0.776624645879601
1,11,chi2,RandomForest,0.9134709931170109,0.913479207209162,0.9132230324890875,0.9133369291238698
1,11,chi2,LogisticRegression,0.8913470993117011,0.892174704276615,0.8905312039868615,0.8910225499929088
1,11,chi2,DecisionTree,0.9134709931170109,0.913479207209162,0.9132230324890875,0.9133369291238698
1,11,chi2,SimpleLogistic,0.8972468043264503,0.9006614856174912,0.895671606680781,0.8966466178684802
1,11,chi2,JRIP,0.5349065880039331,0.6996327190568483,0.5180480409838208,0.38429116321933243
2,11,chi2,NaiveBayes,0.8446411012782694,0.8629557318092889,0.845856766018674,0.842967210807768
2,11,chi2,KNN,0.7517207472959685,0.8303870526097632,0.7543455221975539,0.7372716118443012
2,11,chi2,RandomForest,0.9016715830875123,0.9027817611037905,0.9019685389607879,0.9016407712059886
