n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
0,1,f_classif,NaiveBayes,0.5575221238938053,0.6134324004324176,0.5575221238938053,0.49533545057562534
0,1,f_classif,KNN,0.5,0.25,0.5,0.3333333333333333
0,1,f_classif,RandomForest,0.5575221238938053,0.6134324004324176,0.5575221238938053,0.49533545057562534
0,1,f_classif,LogisticRegression,0.5575221238938053,0.6134324004324176,0.5575221238938053,0.49533545057562534
0,1,f_classif,DecisionTree,0.5575221238938053,0.6134324004324176,0.5575221238938053,0.49533545057562534
0,1,f_classif,SimpleLogistic,0.5575221238938053,0.6134324004324176,0.5575221238938053,0.49533545057562534
0,1,f_classif,JRIP,0.4995083579154376,0.249877029021151,0.4995083579154376,0.33311475409836067
1,1,f_classif,NaiveBayes,0.5501474926253688,0.5759500351864884,0.5376120651350009,0.477374107537752
1,1,f_classif,KNN,0.5176991150442478,0.2588495575221239,0.5,0.34110787172011664
1,1,f_classif,RandomForest,0.5501474926253688,0.5759500351864884,0.5376120651350009,0.477374107537752
1,1,f_classif,LogisticRegression,0.5501474926253688,0.5759500351864884,0.5376120651350009,0.477374107537752
1,1,f_classif,DecisionTree,0.5501474926253688,0.5759500351864884,0.5376120651350009,0.477374107537752
1,1,f_classif,SimpleLogistic,0.5501474926253688,0.5759500351864884,0.5376120651350009,0.477374107537752
1,1,f_classif,JRIP,0.5172074729596854,0.2587309394982784,0.49952516619183285,0.3408943616331821
2,1,f_classif,NaiveBayes,0.5408062930186824,0.5947829435768014,0.5447412799467785,0.47333922529893224
2,1,f_classif,KNN,0.4945919370698132,0.2472959685349066,0.5,0.330921052631579
2,1,f_classif,RandomForest,0.5408062930186824,0.5947829435768014,0.5447412799467785,0.47333922529893224
2,1,f_classif,LogisticRegression,0.5408062930186824,0.5947829435768014,0.5447412799467785,0.47333922529893224
2,1,f_classif,DecisionTree,0.5408062930186824,0.5947829435768014,0.5447412799467785,0.47333922529893224
2,1,f_classif,SimpleLogistic,0.5408062930186824,0.5947829435768014,0.5447412799467785,0.47333922529893224
2,1,f_classif,JRIP,0.4941002949852507,0.24717166748647318,0.4995029821073559,0.33070088845014806
3,1,f_classif,NaiveBayes,0.5363815142576205,0.5996505196446855,0.5506155288357246,0.47938549931912444
3,1,f_classif,KNN,0.47984267453294,0.23992133726647,0.5,0.32425249169435216
3,1,f_classif,RandomForest,0.5363815142576205,0.5996505196446855,0.5506155288357246,0.47938549931912444
3,1,f_classif,LogisticRegression,0.5363815142576205,0.5996505196446855,0.5506155288357246,0.47938549931912444
3,1,f_classif,DecisionTree,0.5363815142576205,0.5996505196446855,0.5506155288357246,0.47938549931912444
3,1,f_classif,SimpleLogistic,0.5363815142576205,0.5996505196446855,0.5506155288357246,0.47938549931912444
3,1,f_classif,JRIP,0.47935103244837757,0.2397934087555337,0.4994877049180328,0.3240279162512463
4,1,f_classif,NaiveBayes,0.5678466076696165,0.6273332834368686,0.5657982137832812,0.5073047825623272
4,1,f_classif,KNN,0.5029498525073747,0.25147492625368734,0.5,0.3346418056918548
4,1,f_classif,RandomForest,0.5678466076696165,0.6273332834368686,0.5657982137832812,0.5073047825623272
4,1,f_classif,LogisticRegression,0.5678466076696165,0.6273332834368686,0.5657982137832812,0.5073047825623272
4,1,f_classif,DecisionTree,0.5678466076696165,0.6273332834368686,0.5657982137832812,0.5073047825623272
4,1,f_classif,SimpleLogistic,0.5678466076696165,0.6273332834368686,0.5657982137832812,0.5073047825623272
4,1,f_classif,JRIP,0.5024582104228122,0.2513526807673389,0.4995112414467253,0.33442408376963345
5,1,f_classif,NaiveBayes,0.5545722713864307,0.5921225045069106,0.5427322880371661,0.4782359043589349
5,1,f_classif,KNN,0.5162241887905604,0.2581120943952802,0.5,0.3404669260700389
5,1,f_classif,RandomForest,0.5545722713864307,0.5921225045069106,0.5427322880371661,0.4782359043589349
5,1,f_classif,LogisticRegression,0.5545722713864307,0.5921225045069106,0.5427322880371661,0.4782359043589349
5,1,f_classif,DecisionTree,0.5545722713864307,0.5921225045069106,0.5427322880371661,0.4782359043589349
5,1,f_classif,SimpleLogistic,0.5545722713864307,0.5921225045069106,0.5427322880371661,0.4782359043589349
5,1,f_classif,JRIP,0.515732546705998,0.25799311362518446,0.49952380952380954,0.3402530003243594
6,1,f_classif,NaiveBayes,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,f_classif,KNN,0.4832841691248771,0.24164208456243855,0.5,0.3258203513423931
6,1,f_classif,RandomForest,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,f_classif,LogisticRegression,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,f_classif,DecisionTree,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,f_classif,SimpleLogistic,0.5447394296951819,0.6087527736151519,0.5564065807596892,0.488957480684138
6,1,f_classif,JRIP,0.48279252704031467,0.24151500245941956,0.49949135300101727,0.3255968169761273
7,1,f_classif,NaiveBayes,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,f_classif,KNN,0.5058997050147492,0.2529498525073746,0.5,0.33594515181194906
7,1,f_classif,RandomForest,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,f_classif,LogisticRegression,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,f_classif,DecisionTree,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,f_classif,SimpleLogistic,0.5471976401179941,0.5898790440104926,0.5429398198511814,0.47660322417603973
7,1,f_classif,JRIP,0.5054080629301868,0.2528283325135268,0.49951409135082603,0.33572828216851736
8,1,f_classif,NaiveBayes,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,f_classif,KNN,0.4837758112094395,0.24188790560471976,0.5,0.3260437375745527
8,1,f_classif,RandomForest,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,f_classif,LogisticRegression,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
8,1,f_classif,DecisionTree,0.5408062930186824,0.6032435801355092,0.552267711962834,0.48264176347047083
